,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10
base_value_0.61,0.43469591787464434,0.7370334148437769,0.8940832690973943,0.9619185604293631,0.9875294089686353,0.996227268614439,0.998934400029351,0.9997167163923661,0.9999286612405549,0.9999828932561786
base_value_0.62,0.43095510568784423,0.7333559780512116,0.891781789948461,0.9607873037773776,0.987057414945654,0.9960532656496823,0.9988763200073306,0.9996988732862083,0.9999235562072735,0.9999815209370995
base_value_0.63,0.4272628567457064,0.7296968898722789,0.8894732509499182,0.9596433887816105,0.9865762749423996,0.995874454786232,0.9988161519162418,0.999680239030415,0.9999181816557835,0.9999800644698202
base_value_0.64,0.42361807398683415,0.7260560587563579,0.8871579268773248,0.958486969922859,0.9860860000565678,0.9956907972404262,0.9987538605677153,0.9996607934861317,0.9999125284244487,0.9999785202765042
base_value_0.65,0.42001970092938656,0.7224333936096203,0.8848360857636792,0.9573182004554851,0.9855866026845443,0.9955022551898319,0.998689411007586,0.9996405164238797,0.9999065872223544,0.9999768846964552
base_value_0.66,0.4164667195448857,0.7188288037927515,0.8825079891301629,0.9561372324158088,0.9850780964818646,0.9953087917623519,0.9986227685211049,0.9996193875287782,0.9999003486311344,0.9999751539860913
base_value_0.67,0.4129581482747735,0.7152421991186835,0.8801738922054855,0.9549442166304469,0.9845604963249922,0.9951103710254253,0.9985538986379313,0.9995973864056834,0.9998938031068144,0.9999733243189453
base_value_0.68,0.40949304017811516,0.7116734898503364,0.8778340441345706,0.9537393027246005,0.9840338182743564,0.9949069579753257,0.9984827671369123,0.9995744925842515,0.9998869409816699,0.9999713917856907
base_value_0.69,0.40607048119996214,0.708122586698376,0.875488688177265,0.9525226391302885,0.9834980795385893,0.9946985185265518,0.9984093400506568,0.9995506855239211,0.9998797524660983,0.9999693523941923
base_value_0.7,0.4026895885508539,0.7045894008189773,0.8731380618976966,0.9512943730945294,0.9829532984399101,0.9944850195013137,0.998333583669912,0.9995259446188189,0.9998722276505044,0.9999672020695809
base_value_0.71,0.39934950918882284,0.7010738438116026,0.8707823973448612,0.9500546506874719,0.9823994943806045,0.9942664286191113,0.9982554645477469,0.9995002492025887,0.999864356507198,0.999964936654353
base_value_0.72,0.3960494183960479,0.6975758277167903,0.8684219212249745,0.9488036168104723,0.9818366878105511,0.9940427144864055,0.9981749495035513,0.9994735785531442,0.9998561288923012,0.9999625519084928
base_value_0.73,0.3927885184430048,0.6940952650139534,0.8660568550660837,0.9475414152041223,0.9812649001957513,0.9938138465863811,0.9980920056268553,0.9994459118973469,0.9998475345476673,0.9999600435096174
base_value_0.74,0.38956603733359485,0.6906320686191891,0.8636874153753954,0.946268188456224,0.9806841539878179,0.9935797952688004,0.9980066002809738,0.9994172284156102,0.9998385631028075,0.9999574070531452
base_value_0.75,0.38638122762530114,0.687186151883102,0.8613138137897507,0.9449840780097157,0.9800944725943849,0.993340531739948,0.9979187011064848,0.9993875072464297,0.9998292040768265,0.9999546380524847
base_value_0.76,0.3832333653189284,0.6837574285886338,0.858936257219634,0.9436892241705473,0.9794958803503983,0.9930960280526638,0.9978282760245442,0.9993567274908405,0.9998194468803652,0.9999517319392466
base_value_0.77,0.38012174881295013,0.6803458129489077,0.8565549479870905,0.9423837661155039,0.9788884024902544,0.9928462570964661,0.9977352932400416,0.9993248682168043,0.9998092808175492,0.9999486840634756
base_value_0.78,0.37704569791790465,0.6769512196050816,0.854170083957889,0.9410678418999816,0.97827206512075,0.9925911925877622,0.997639721244606,0.999291908463524,0.9997986950879444,0.999945489693903
base_value_0.79,0.3740045529266449,0.6735735636242124,0.8517818586682476,0.9397415884657129,0.9776468951948136,0.992330809060147,0.9975415288194609,0.9992578272456883,0.9997876787885158,0.9999421440182196
base_value_0.8,0.3709976737366085,0.6702127604971303,0.8493904614464207,0.9384051416484429,0.9770129204859865,0.9920650818547879,0.9974406850381379,0.9992226035576484,0.9997762209155919,0.9999386421433688
base_value_0.81,0.3680244390205677,0.6668687261363255,0.8469960775294223,0.937058636185557,0.9763701695636267,0.9917939871108965,0.99733715926905,0.9991862163775239,0.9997643103668309,0.9999349790958573
base_value_0.82,0.3650842454426092,0.6635413768738436,0.844598888175143,0.9357022057236595,0.9757186717688062,0.9915175017562848,0.9972309211779307,0.9991486446712429,0.9997519359431913,0.9999311498220864
base_value_0.83,0.3621765069163416,0.6602306294591928,0.8421990707701024,0.9343359828261046,0.9750584571908778,0.9912356034980075,0.9971219407301422,0.9991098673965135,0.9997390863509032,0.9999271491887004
base_value_0.84,0.35930065390257293,0.6569364010572601,0.8397967989330634,0.9329600989804787,0.9743895566446854,0.9909482708130877,0.9970101881928571,0.9990698635067304,0.999725750203442,0.9999229719829534
